[Feb 21 10:30:27.698] [ET_NET 22] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [49] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3faa08, reader_start_offset=1364
[Feb 21 10:30:27.700] [ET_NET 18] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [42] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3f9ce8, reader_start_offset=1364
[Feb 21 10:30:27.702] [ET_NET 4] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [37] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fbdb8, reader_start_offset=1364
[Feb 21 10:30:27.702] [ET_NET 12] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [39] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fb548, reader_start_offset=1364
[Feb 21 10:30:27.704] [ET_NET 1] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [50] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fa918, reader_start_offset=1364
[Feb 21 10:30:27.705] [ET_NET 17] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [34] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3facd8, reader_start_offset=1364
[Feb 21 10:30:27.708] [ET_NET 8] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [36] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fb278, reader_start_offset=1364
[Feb 21 10:30:27.708] [ET_NET 16] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [45] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fb908, reader_start_offset=1364
[Feb 21 10:30:27.709] [ET_NET 9] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [48] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fb368, reader_start_offset=1364
[Feb 21 10:30:27.709] [ET_NET 10] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [32] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fb098, reader_start_offset=1364
[Feb 21 10:30:27.710] [ET_NET 2] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [47] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fb9f8, reader_start_offset=1364
[Feb 21 10:30:27.710] [ET_NET 13] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [51] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fb638, reader_start_offset=1364
[Feb 21 10:30:27.712] [ET_NET 15] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [38] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fabe8, reader_start_offset=1364
[Feb 21 10:30:27.712] [ET_NET 3] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [35] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3faaf8, reader_start_offset=1364
[Feb 21 10:30:27.712] [ET_NET 7] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [53] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fb188, reader_start_offset=1364
[Feb 21 10:30:27.713] [ET_NET 19] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [54] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fb818, reader_start_offset=1364
[Feb 21 10:30:27.715] [ET_NET 0] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [40] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fadc8, reader_start_offset=1364
[Feb 21 10:30:27.716] [ET_NET 6] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [55] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fb458, reader_start_offset=1364
[Feb 21 10:30:27.716] [ET_NET 5] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [44] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fbcc8, reader_start_offset=1364
[Feb 21 10:30:27.718] [ET_NET 21] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [41] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fb728, reader_start_offset=1364
[Feb 21 10:30:27.722] [ET_NET 14] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [46] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fbae8, reader_start_offset=1364
[Feb 21 10:30:27.730] [ET_NET 11] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [33] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3f9fb8, reader_start_offset=1364
[Feb 21 10:30:27.730] [ET_NET 11] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [57] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fa828, reader_start_offset=1364
[Feb 21 10:30:27.731] [ET_NET 8] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [59] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fbea8, reader_start_offset=1364
[Feb 21 10:30:27.731] [ET_NET 12] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [56] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3faeb8, reader_start_offset=1364
[Feb 21 10:30:27.732] [ET_NET 9] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [60] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3f4b58, reader_start_offset=1364
[Feb 21 10:30:27.733] [ET_NET 13] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [61] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3fafa8, reader_start_offset=1364
[Feb 21 10:30:27.734] [ET_NET 7] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [62] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3f9dd8, reader_start_offset=1364
[Feb 21 10:30:27.735] [ET_NET 10] DIAG: <HttpSM.cc:6212 (do_setup_post_tunnel)> (http) [58] written post_buffer to_vc_type=2, post_bytes=1024, num_body_bytes=1024, client_request_body_bytes=0, read_closed=0, transfered_bytes=0, alloc_index=3, req_content_length=1024, reader=0x7fac2f3f5ff8, reader_start_offset=1364
